id,company,date,role,seniority,location,department,source,scraped_at
1,Infosys,2026-04-21,Mortgage Loan Processor,Mid-level,"Atlanta, GA401(k) +3 benefits1 week ago",Other,LinkedIn,2026-04-30T12:03:30.873695
2,Infosys,2026-04-20,Executive Assistant,Mid-level,New York City Metropolitan Area1 week ago,Other,LinkedIn,2026-04-30T12:03:30.873879
3,Infosys,2026-04-09,Marketing Coordinator,Mid-level,United States2 weeks ago,Marketing,LinkedIn,2026-04-30T12:03:30.874041
4,Infosys,2026-04-17,Processor,Mid-level,United States1 week ago,Other,LinkedIn,2026-04-30T12:03:30.874199
5,Infosys,2026-04-21,Mortgage Loan Processor,Mid-level,"Atlanta, GA1 week ago",Other,LinkedIn,2026-04-30T12:03:30.874363
6,Infosys,2026-04-18,Underwriter,Mid-level,United States1 week ago,Other,LinkedIn,2026-04-30T12:03:30.874548
7,Infosys,2026-04-24,Executive Administrative Assistant,Mid-level,New York City Metropolitan Area5 days ago,Other,LinkedIn,2026-04-30T12:03:30.874730
8,Infosys,2026-04-13,Senior Director Sourcing and Procurement Services,Senior,United StatesMedical insurance +5 benefits2 weeks ago,Other,LinkedIn,2026-04-30T12:03:30.874901
9,Infosys,2026-04-23,Project Coordinator,Mid-level,"Denver, CO6 days ago",Other,LinkedIn,2026-04-30T12:03:30.875062
10,Infosys,2026-04-24,Python Developer,Mid-level,"Hartford, CT5 days ago",Engineering,LinkedIn,2026-04-30T12:03:30.875218
11,Infosys,2026-04-21,Director of Procurement,Management,"Batavia, IL401(k) +3 benefits1 week ago",Other,LinkedIn,2026-04-30T12:03:30.875384
12,Infosys,2026-04-01,Product Owner,Mid-level,New York City Metropolitan Area4 weeks ago,Product,LinkedIn,2026-04-30T12:03:30.875540
13,Infosys,2026-04-22,Python Developer,Mid-level,"Jersey City, NJ1 week ago",Engineering,LinkedIn,2026-04-30T12:03:30.875688
14,Infosys,2026-04-01,Product Owner,Mid-level,"New Jersey, United States4 weeks ago",Product,LinkedIn,2026-04-30T12:03:30.875839
15,Infosys,2026-04-01,Product Owner,Mid-level,Greater Boston4 weeks ago,Product,LinkedIn,2026-04-30T12:03:30.875994
16,Infosys,2026-04-17,Product Manager,Management,"New York, United StatesMedical insurance +5 benefits1 week ago",Product,LinkedIn,2026-04-30T12:03:30.876151
17,Infosys,2026-04-01,Product Owner,Mid-level,Greater Chicago Area4 weeks ago,Product,LinkedIn,2026-04-30T12:03:30.876303
18,Infosys,2026-04-24,Senior Procurement Specialist,Senior,"Chicago, IL401(k)5 days ago",Other,LinkedIn,2026-04-30T12:03:30.876455
19,Infosys,2026-04-06,Procurement Specialist,Mid-level,"Batavia, IL3 weeks ago",Other,LinkedIn,2026-04-30T12:03:30.876622
20,Infosys,2026-04-18,Designer,Mid-level,New York City Metropolitan Area1 week ago,Other,LinkedIn,2026-04-30T12:03:30.876779
